time_man;Estado
Nautico;PE
Sao.Paulo;SP
Vitoria;BA
Botafogo;RJ
Ipatinga;MG
Coritiba;PR
Internacional;RS
Atletico-MG;MG
Flamengo;RJ
Portuguesa;SP
Cruzeiro;MG
Sport;PE
Vasco.da.Gama;RJ
Gremio;RS
Goias;GO
Fluminense;RJ
Athletico-PR;PR
Santos;SP
Figueirense;SC
Palmeiras;SP
Avai;SC
Corinthians;SP
Santo.Andre;SP
Barueri;SP
Atletico-GO;GO
Ceara;CE
Guarani;SP
America-MG;MG
Bahia;BA
Ponte.Preta;SP
Criciuma;SC
Chapecoense;SC
Joinville;SC
Santa.Cruz;PE
Parana;PR
CSA;AL
Fortaleza;CE
RB.Bragantino;SP
Gama;DF
